id,lokasyon_adi,sehir,ilce,koordinat,turizm_potansiyeli,ziyaret_durumu,populer_aktiviteler,gorsel_url
1,Adana Eski Mahalleler,Adana,Seyhan,"37.0000,35.3213",Orta,Açık,Tarihi sokaklar; Taşköprü; Ulu Cami,
2,Adana Tren Garı,Adana,Seyhan,"36.999, 35.321",Yüksek,Açık,"Mimari Gezi, Ulaşım",https://gorsel-linki.com/adana-gar.jpg
3,Adana Çukurova Pamuk Tarlaları,Adana,Çukurova,"37.058, 35.321",Orta,Açık,"Fotoğrafçılık, Tarım Gezisi",https://gorsel-linki.com/adana-tarla.jpg
4,Adana Şehir Hastanesi ve Çevresi,Adana,Yüreğir,"37.016, 35.361",Düşük,Kısıtlı,Gözlem,https://gorsel-linki.com/adana-sehir.jpg
5,Kozan Tarihi Evleri ve Kalesi,Adana,Kozan,"37.455, 35.815",Yüksek,Açık,Tarih Turu,https://gorsel-linki.com/kozan.jpg
6,Kuzey Adana Modern Yerleşimler,Adana,Çukurova,"37.045, 35.292",Orta,Açık,Şehir Turu,https://gorsel-linki.com/adana-modern.jpg
7,Pozantı,Adana,Pozantı,"37.4268,34.8707",Düşük,Açık,Toros geçidi; doğa yürüyüşü,
8,Sarıçam Pamuk Çiftlikleri,Adana,Sarıçam,"37.031, 35.451",Orta,Açık,Tarım Turizmi,https://gorsel-linki.com/saricam.jpg
9,Varda Köprüsü (Alman Köprüsü),Adana,Karaisalı,"37.243, 34.976",Yüksek,Açık,"Mimari Gözlem, Tren İzleme",https://gorsel-linki.com/varda.jpg
10,Varda Köprüsü ve Karaisalı Platoları,Adana,Çukurova,"37.243, 34.976",Çok Yüksek,Açık,"Tren İzleme, Tarih Gezisi",https://gorsel-linki.com/varda-adana.jpg
11,Varda Viyadüğü,Adana,Karaisalı,"37.3167,35.2000",Yüksek,Açık,127 m yüksekliğinde tarihi köprü; kanyona bakan manzara; bisiklet ve yürüyüş parkuru,
12,Çukurova Ovası,Adana,Merkez,"37.0500,35.6000",Orta,Açık,Pamuk tarlaları; Seyhan Nehri manzarası; doğa gözlemi,
13,Ihlara Vadisi ve Kaya Kiliseleri,Aksaray,Güzelyurt,"38.239, 34.296",Çok Yüksek,Müze/Açık,"Doğa Yürüyüşü, Tarih Gezisi",https://gorsel-linki.com/ihlara.jpg
14,Sultanhanı Kervansarayı,Aksaray,Sultanhanı,"38.246, 33.547",Çok Yüksek,Müze/Açık,Mimari İnceleme,https://gorsel-linki.com/sultanhani.jpg
15,Ankara Garı,Ankara,Altındağ,"39.9312,32.8559",Orta,Açık (müze),Tarihi tren garı gezisi; fotoğrafçılık,
16,Demirtepe ve Ankara Tren Yolları,Ankara,Çankaya,"39.928, 32.845",Düşük,Açık,Tren Yolculuğu,https://gorsel-linki.com/ankara-tren.jpg
17,Esenboğa Havalimanı,Ankara,Akyurt,"40.1281,32.9956",Düşük,Açık,Ulaşım noktası,
18,Eski Meclis ve Birinci Meclis Binası,Ankara,Çankaya,"39.941, 32.854",Çok Yüksek,Müze,Cumhuriyet Tarihi Turu,https://gorsel-linki.com/birinci-meclis.jpg
19,Eski TBMM Binası ve Ulus Meydanı,Ankara,Çankaya,"39.941, 32.854",Çok Yüksek,Müze,"Tarih Turu, Mimari",https://gorsel-linki.com/eski-meclis.jpg
20,Feyman Kulüp (Ankara Kavaklıdere),Ankara,Çankaya,"39.9015,32.8567",Düşük,Kapalı (özel mekan),Ankara eğlence tarihi,
21,Gazi Mahallesi ve Akköprü Emniyet Hattı,Ankara,Yenimahalle,"39.952, 32.831",Orta,Açık,"Nostalji Gezisi, Emniyet Sahneleri",https://gorsel-linki.com/gazi-mahallesi.jpg
22,Kuğulu Park,Ankara,Çankaya,"39.9022,32.8597",Orta,Açık,Yürüyüş; piknik; kuğu izleme,
23,Kuğulu Park ve Tunalı Hilmi Caddesi,Ankara,Çankaya,"39.902, 32.859",Çok Yüksek,Açık,"Kuğuları İzleme, Şehir Turu",https://gorsel-linki.com/kugulu-park.jpg
24,Kıbrıs Köyü Kanyonu ve Yerleşkesi,Ankara,Mamak,"39.924, 33.055",Orta,Açık,"Doğa Yürüyüşü, Gözlem",https://gorsel-linki.com/kibris-koyu.jpg
25,Mamak ve Boğaziçi Eski Mahalleleri,Ankara,Mamak,"39.912, 32.915",Orta,Açık,Kentsel Dönüşüm Gözlemi,https://gorsel-linki.com/mamak-eski.jpg
26,Mogan Gölü ve Villalar Bölgesi,Ankara,Gölbaşı,"39.791, 32.805",Yüksek,Açık,"Piknik, Tekne Turu, Set Gezisi",https://gorsel-linki.com/mogan-ankara.jpg
27,Sakarya Caddesi ve SSK İş Hanı Çevresi,Ankara,Çankaya,"39.921, 32.853",Yüksek,Açık,"Gece Hayatı, Sokak Lezzetleri",https://gorsel-linki.com/sakarya-ankara.jpg
28,Ulucanlar Cezaevi Müzesi,Ankara,Altındağ,"39.938, 32.875",Çok Yüksek,Müze,"Tarih Gezisi, Müze Ziyareti",https://gorsel-linki.com/ulucanlar.jpg
29,Çankaya (Ankara Büyükelçilikler Bölgesi),Ankara,Çankaya,"39.8780,32.8397",Orta,Açık,Atatürk Orman Çiftliği; büyükelçilik binaları; tarihi köşkler,
30,Çinçin Bağları ve Gecekondu Semtleri,Ankara,Altındağ,"39.954, 32.872",Düşük,Açık (Dikkat),"Sosyolojik Gözlem, Nostalji",https://gorsel-linki.com/cincin.jpg
31,Alanya Çiçek Bahçeleri ve Kalesi,Antalya,Alanya,"36.544, 31.991",Çok Yüksek,Açık,"Manzara İzleme, Tarih Turu",https://gorsel-linki.com/alanya.jpg
32,Antalya EXPO Alanı ve Stüdyolar,Antalya,Aksu,"36.936, 30.893",Yüksek,Ziyarete Açık,"Etkinlik, Fotoğrafçılık",https://gorsel-linki.com/expo-antalya.jpg
33,Antalya Havalimanı Çevresi,Antalya,Muratpaşa,"36.900, 30.792",Düşük,Açık,Ulaşım,https://gorsel-linki.com/havalimani.jpg
34,Antalya Karain Mağarası ve Çevresi,Antalya,Döşemealtı,"37.078, 30.571",Çok Yüksek,Müze/Açık,Arkeolojik Gezi,https://gorsel-linki.com/karain.jpg
35,Antalya Yat Limanı (Kaleiçi),Antalya,Muratpaşa,"36.884, 30.703",Çok Yüksek,Açık,"Tekne Turu, Tarihi Gezi",https://gorsel-linki.com/antalya-yat-limani.jpg
36,Elmalı Sokakları ve Jandarma Karakolu,Antalya,Elmalı,"36.733, 29.917",Orta,Açık,Tarihi Ev Gezisi,https://gorsel-linki.com/elmali.jpg
37,Gloria Sports Arena (Belek),Antalya,Serik,"36.8601,31.0552",Orta,Açık,Dünya standartlarında spor tesisi; atletizm pisti; olimpik havuz,
38,Kaş Limanı ve Sahili,Antalya,Kaş,"36.200, 29.638",Çok Yüksek,Açık,"Dalış, Tekne Turu",https://gorsel-linki.com/kas.jpg
39,Kemer Yaylaları ve Ormanları,Antalya,Kemer,"36.600, 30.550",Orta,Açık,"Doğa Yürüyüşü, Macera",https://gorsel-linki.com/kemer-yayla.jpg
40,Köprübaşı ve Nehir Kenarı,Antalya,Manavgat,"36.788, 31.442",Yüksek,Açık,"Rafting, Fotoğraf",https://gorsel-linki.com/manavgat.jpg
41,Tahtalı Dağı,Antalya,Kemer,"36.5169,30.4906",Yüksek,Açık,Teleferik; 2365 m zirve; Akdeniz manzarası; Nefes film lokasyonu,
42,Artvin Kemalpaşa Sahili,Artvin,Kemalpaşa,"41.481, 41.522",Orta,Açık,Deniz Manzarası İzleme,https://gorsel-linki.com/kemalpasa.jpg
43,Artvin Maçahel Yaylası,Artvin,Borçka,"41.428, 41.921",Yüksek,Açık (Mevsimlik),"Eko-Turizm, Arıcılık",https://gorsel-linki.com/macahel.jpg
44,Borçka Karagöl,Artvin,Borçka,"41.385, 41.851",Çok Yüksek,Açık,"Doğa Fotoğrafçılığı, Kamp",https://gorsel-linki.com/karagol.jpg
45,Hopa Sahil Şeridi,Artvin,Hopa,"41.408, 41.432",Orta,Açık,Yol Üstü Dinlenme,https://gorsel-linki.com/hopa.jpg
46,Doğanbey Köyü (Eski Domatia),Aydın,Söke,"37.618, 27.214",Çok Yüksek,Açık,"Taş Ev Gezisi, Fotoğraf",https://gorsel-linki.com/doganbey.jpg
