"yapim_adi","yapim_turu","senaryo_ozeti"
"120 (film)","film","1915 yılının dondurucu kış aylarında, Van’ın karlı ve sarp dağlarının eteklerinde
başlayan hikaye, Birinci Dünya Savaşı’nın en acı dolu kahramanlık destanlarından birini konu alır.
Şehrin kerpiç evlerinden yükselen hüzünlü türküler ve askeri kışlanın disiplinli ama çaresiz atmosferi,
120 genç çocuğun sırtlandığı ağır sorumluluğu yansıtan bir ayna görevi görür. Van Valisi ve askeri
erkanın toplandığı stratejik karargah odasında alınan cephane taşıma kararı, çocukların
masumiyetinin bittiği ve vatan savunmasının başladığı kırılma noktasını oluşturur. Erzak depolarının
önünde başlayan hazırlıklar, annelerin gözyaşlarıyla ıslanan yün çorapların ve duaların eşliğinde derin
bir hüzne bürünür. Karlı yolların sonsuz beyazlığı, çocukların minik bedenlerindeki yorgunluğu ve
dondurucu soğuğun yarattığı fiziksel çöküşü yansıtan sessiz ve devasa bir düşman gibidir. Yol boyunca
sığınılan derme çatma mağaralar ve gece yarısı yakılan zayıf ateşler, hayatta kalma azmi ile ölümün
kıyısındaki o ince çizgiyi sembolize eder. Sınır hattına yaklaşıldıkça artan tipi ve fırtına, çocukların
birbirine tutunarak oluşturduğu o insani zincirin dayanıklılığını sınayan bir zirve noktasına dönüşür.
Cephedeki askerlerin şaşkın ve minnet dolu bakışları altında teslim edilen cephaneler, vatanın
kurtuluşu için verilen en büyük bedelin sessiz tanıklarıdır. Dönüş yolunda ise mekanın acımasızlığı
doruğa çıkar ve beyaz örtünün altına gömülen her bir beden, tarihin derinliklerine kazınan birer
nişane olur. Şehir merkezindeki okul binasının boş kalan sıraları, geride kalanların içindeki o
onarılamaz boşluğu yansıtan melankolik bir atmosfere bürünür. Van’ın ıssız ve karlı tepelerinde
yankılanan rüzgar sesi, 120 kahramanın unutulmaz hatırasını günümüze taşıyan tek sestir. Filmin
sonunda, karların erimesiyle ortaya çıkan çocukların emanetleri, fedakarlığın ve sadakatin en somut
kanıtı olarak izleyicinin vicdanında yankılanır. Bu sinematik anlatım, savaşın sadece cephede değil,
çocukların tertemiz yüreklerinde nasıl devleştiğini sarsıcı bir dille noktalar."
"155 Polis İmdat","dizi","1990’ların başındaki İstanbul’un puslu sabahlarında, şehrin karmaşık ve
suçla örülü sokaklarında asayişi sağlamaya çalışan emniyet birimlerinin hikayesi, telsizlerden yükselen
cızırtılı seslerle başlar. Polis merkezinin loş ışıklı sorgu odaları ve evraklarla dolu dumanlı ofisleri,
memurların üzerindeki ağır sorumluluğu ve adaleti sağlama hırsını yansıtan birer laboratuvar gibidir.
Her sabah evlerinden dualarla uğurlanan polislerin, çocuklarının odalarındaki huzur ile sahadaki kaos
arasındaki o derin uçurum karakterlerin içsel çatışmasını besler. Bir gece yarısı ihbarıyla başlayan
uyuşturucu operasyonu, Taksim’in arka sokaklarından liman bölgesindeki terk edilmiş depolara kadar
uzanan tehlikeli bir takibi tetikler. Şehrin kalabalık meydanlarındaki neon ışıkları altında saklanan
suçlular ile onları kovalayan memurlar arasındaki kedi fare oyunu, gerilimin sürekli tırmandığı bir
atmosfer oluşturur. Emniyet müdürünün sert ama babacan tavırları, birim içindeki dayanışmayı
güçlendiren bir güven kalesi işlevi görürken; operasyon sırasında yaşanan telsiz kesintisi büyük bir
panik ve kırılma yaratır. Yaralanan bir ekip arkadaşının ardından hastane koridorlarında yaşanan o
sessiz bekleyiş, polislik mesleğinin sadece silah ve kelepçeden ibaret olmadığını, büyük bir vicdan
sınavı olduğunu gösterir. Olay yerindeki sarı şeritler ve yanıp sönen mavi-kırmızı tepe lambaları,
şehrin suçla olan bitmek bilmeyen mücadelesinin görsel imzalarıdır. Zamanın durduğu o kritik çatışma
anlarında, karakterlerin birbirlerine duydukları sarsılmaz güven hikayenin duygusal zirvesini oluşturur.
Suç örgütünün liderine ulaşılan o nihai baskın sahnesi, adaletin tecelli ettiği ve tüm ekibin derin bir
nefes aldığı bir kapanışa doğru evrilir. İstanbul’un tarihi silüeti altında devriye gezen ekip otosu, yeni
bir sabahın ve yeni bir mücadelenin habercisi olarak yollarda süzülür. Finalde, emniyetin o soğuk ve
resmi koridorlarında çekilen bir aile fotoğrafı, görev aşkının her türlü zorluğun önüne geçtiğini
vurgulayan umut dolu bir mesajla sona erer."
"155 Polis İmdat (dizi)","dizi","İstanbul’un gri gökyüzü altında, suçun kol gezdiği dar ve tekinsiz
mahallelerde geçen bu aksiyon dolu dram, polis teşkilatının gizli kahramanlarının hayatlarına
odaklanır. Emniyet binasının metalik dokusu ve sürekli çalan telefonların yarattığı stresli atmosfer,
karakterlerin kişisel yaşamlarındaki boşlukları kapatmaya çalışan birer kaçış alanı gibidir.
Başkomiserin çalışma odasındaki eski İstanbul fotoğrafları, değişen şehrin ve yozlaşan suç dünyasının
yarattığı hayal kırıklığını yansıtan sessiz şahitlerdir. Bir sabah, şehrin en işlek köprüsünde yaşanan
gizemli bir kaza, tüm birimi harekete geçiren ve büyük bir komplonun kapılarını aralayan kırılma
noktasını oluşturur. Olay yeri inceleme ekiplerinin titiz çalışmaları ve laboratuvardaki mikroskopik
detaylar, suçun görünmeyen yüzünü ortaya çıkaran teknik birer ayna işlevi görür. Karakterlerin
evlerindeki huzursuz akşam yemekleri, mesleklerinin getirdiği psikolojik yükün aile bağlarını nasıl
zayıflattığını gösteren hüzünlü anlara sahne olur. Gece yarısı Galata Köprüsü üzerinde gerçekleştirilen
gizli bir buluşma, emniyet içindeki bir köstebeğin varlığını işaret ederek gerilimi en üst seviyeye taşır.
Şehrin her bir köşesine yerleştirilen güvenlik kameralarından izlenen görüntüler, modern bir
gözetleme kulesi atmosferi yaratarak suçluların hareket alanını daraltır. Bir uyuşturucu baronunun
lüks malikanesine yapılan şafak baskını, ekibin haftalardır süren emeğinin ve stratejisinin sınandığı
fiziksel bir zirveye dönüşür. Silah seslerinin yankılandığı malikanenin bahçesi, güç ve adaletin karşı
karşıya geldiği kanlı bir sahneye evrilirken, bir memurun fedakarlığı hikayeyi sarsıcı bir sona hazırlar.
Emniyetin bahçesinde düzenlenen tören, bir yandan hüznü diğer yandan yeni görevlerin kutsallığını
barındıran bir atmosfer sunar. Şehrin kalbinde yükselen ezan sesleri ve ardından gelen sirenler,
İstanbul’un bitmeyen döngüsünü ve polisin bu döngüdeki koruyucu rolünü simgeler. Son olarak, yeni
başlayan bir çaylak polisin kararlı bakışları, bayrağın devredildiğini ve mücadelenin sonsuza dek
süreceğini vurgulayan sinematik bir finalle noktalanır."
"20 Dakika","dizi","İstanbul’un seçkin ve huzurlu semtlerinden birinde, mutlu bir aile babası olan
Ali’nin hayatı, karısı Melek’in bir gece yarısı cinayet suçlamasıyla tutuklanmasıyla birlikte sarsıcı bir
yıkıma uğrar. Evin sıcak ve sevgi dolu atmosferi, polislerin gelmesiyle aniden soğuk ve yabancı bir
mekana dönüşürken, duvarlardaki aile fotoğrafları geçmişin güzel günlerini hatırlatan acı verici birer
ayna olur. Melek’in gönderildiği cezaevinin paslı demir kapıları ve gri beton duvarları, onun
çaresizliğini ve özgürlüğe olan açlığını yansıtan birer hapishaneye dönüşür. Ali, karısının suçsuzluğuna
olan inancıyla, sakin bir tarih öğretmeninden zeka dolu bir kaçış planı kurgulayan bir stratejiste
evrilirken iç dünyasında büyük bir kırılma yaşar. Kaçış planının yapıldığı o loş ve kitaplarla dolu çalışma
odası, Ali’nin umudu ve intikam hırsı arasındaki gelgitlerini simgeleyen bir savaş karargahı gibidir.
Hastane koridorlarındaki gizli buluşmalar ve sahte kimliklerle girilen riskli mekanlar, hikayenin
gerilimini her geçen saniye daha da tırmandırır. Melek’in cezaevinde maruz kaldığı şiddet ve
psikolojik baskı, onun içindeki o narin kadını hayatta kalmak için savaşan birine dönüştürür. Ali’nin
kısıtlı zamanı temsil eden saati, her tıkırtısında kaçınılmaz sona yaklaşıldığını hatırlatan bir stres
unsuru olarak metne işlenir. Şehrin kalabalık meydanlarında yapılan takipler ve liman bölgesindeki
ıssız konteynerlar, kaçışın zorluğunu gösteren fiziksel engellere dönüşür. Ali ve Melek’in bir camın
arkasından yaptıkları son görüşme, kelimelerin bittiği ve sadece gözyaşlarının konuştuğu duygusal bir
zirve noktasıdır. Planın uygulanmaya konduğu o yağmurlu gece, şehrin tüm kanalizasyon tünelleri ve
arka sokakları özgürlüğe açılan gizli geçitlere dönüşür. Polis sirenlerinin ve köpek havlamalarının
eşliğinde süren kovalama, sınır kapısında yaşanan nefes kesici bir karşılaşmayla son bulur. Finalde,
güneşin doğuşuyla birlikte uzak bir sahil kasabasına doğru yol alan ailenin yüzündeki yorgun
gülümseme, kaybedilen adaletin kişisel bir zaferle yeniden inşa edildiğini vurgular."
"46 Yok Olan","dizi","İstanbul’un modern ve teknolojik imkanlarla donatılmış bir üniversite
hastanesinde, idealist bir genetik profesörü olan Murat’ın bitkisel hayattaki kız kardeşini kurtarma
çabası, etik sınırların zorlandığı tehlikeli bir yolculuğa dönüşür. Murat’ın hastanedeki bembeyaz ve
steril laboratuvarı, onun hem umudunu hem de yavaş yavaş kaybedeceği vicdanını temsil eden soğuk
bir mekan gibidir. Geceleri evindeki loş çalışma odasında geliştirdiği deneysel ilaç, kız kardeşinin tepki
vermesiyle birlikte hikayede büyük bir kırılma ve heyecan dalgası yaratır. İlacın etkisiyle Murat’ın
içindeki bastırılmış ve karanlık kişiliğin ortaya çıkması, karakterin aynadaki yansımasına bile
yabancılaşmasına neden olan psikolojik bir ayna etkisi oluşturur. Şehrin yeraltı gece kulüplerinde ve
tekinsiz arka sokaklarında uyanan bu yeni kişilik, Murat’ın dürüst yaşamı ile vahşi dürtüleri arasındaki
uçurumu derinleştirir. Emniyetin cinayet bürosundaki dedektiflerin, Murat’ın bıraktığı izleri
sürmesiyle başlayan kovalamaca, hastane koridorlarından şehrin metruk binalarına kadar uzanan
gerilim dolu bir atmosfer sunar. Murat’ın kendi yarattığı bu 'canavar' ile olan içsel savaşı, ilacın yan
etkileriyle birleşerek karakterin gerçeklik algısını bozan halüsinatif bir zirveye ulaşır. Şehrin yüksek
binalarının tepesinde yankılanan feryatlar ve gece yarısı Boğaz’ın serin esintisi altında yapılan vicdani
hesaplaşmalar, dramaturjinin temel taşlarını oluşturur. Murat’ın sevgilisi olan komiserin, gerçekleri
keşfetmeye yaklaşmasıyla artan gerilim, her iki karakter için de dönülmesi zor bir yol ayrımı yaratır.
Bir depoda gerçekleşen son yüzleşme, Murat’ın hem dahi bir doktor hem de acımasız bir kurban
olduğu gerçeğini tüm çıplaklığıyla gözler önüne serer. İlacın formülünün saklı olduğu dijital dosyalar
ve kırılan deney tüpleri, bilimin hırsla birleştiğinde nasıl bir felakete yol açabileceğinin kanıtlarıdır.
Finalde, kız kardeşinin gözlerini açtığı o mucizevi an, Murat’ın özgürlüğünü ve belki de ruhunu
kaybettiği bir bedelle ödenen hüzünlü bir kapanışa evrilir. İstanbul’un karmaşık silüeti altında
kaybolan Murat, geride sadece bilimin cevaplayamadığı ahlaki soruları ve sarsıcı bir yaşam hikayesini
bırakır."
"49 (film)","film","2014 yılının kavurucu yazında, Ortadoğu’nun tozlu ve tehlikeli coğrafyasında yer
alan Musul Başkonsolosluğu, terör örgütünün kuşatması altına girdiğinde 49 Türk personelinin rehin
alınmasıyla başlayan bu gerilim dolu süreç, Türkiye sınırından Musul’a uzanan gizli bir operasyonu
konu alır. Konsolosluk binasının beton duvarları ve dar sığınakları, rehinelerin maruz kaldığı baskıyı ve
dış dünyadan kopuşlarını yansıtan klostrofobik birer sahneye dönüşür. Ankara’daki operasyon
merkezinin dev ekranlar ve dijital haritalarla donatılmış modern atmosferi, sahadaki o ilkel ve vahşi
şiddet ile arasındaki keskin zıtlığı belirleyen bir kontrol kulesi gibidir. MİT mensubu kahramanların,
Musul’un labirenti andıran sokaklarında ve yerel pazar yerlerinde kimliklerini gizleyerek yaptıkları
keşifler, her an bir patlamanın veya ihanetin yaşanabileceği tekinsiz bir gerilim sunur. Şehrin dışındaki
terk edilmiş bir petrol rafinerisi, rehinelerin tutulduğu karanlık ve sıcak bir zindana dönüşürken,
burada yankılanan sorgu sesleri karakterlerin dayanıklılık sınırlarını zorlayan bir ayna işlevi görür.
Türkiye’den yola çıkan özel harekat timlerinin sınır hattındaki sessiz bekleyişi, operasyonun
başlamasıyla birlikte yerini toz ve barut kokulu bir çatışma atmosferine bırakır. İnsansız hava
araçlarından gelen yüksek çözünürlüklü görüntüler ile sahadaki askerlerin o anlık yaşam mücadelesi
arasındaki senkronizasyon, hikayenin teknolojik ve askeri zirve noktasını oluşturur. Bir gece baskınıyla
başlayan kurtarma operasyonu, Musul’un dar sokaklarında tanklar ve zırhlı araçlar arasında geçen
nefes kesici bir kovalama sahnesine evrilir. Rehinelerin kurtarılma anında yaşadıkları o şok ve sevinç
karışımı duygular, operasyon merkezindeki alkış sesleriyle birleşerek dramatik bir ferahlama yaratır.
Sınır kapısına yaklaşıldığında görülen Türk bayrağı, karakterlerin içine düştüğü o karanlık tünelden
çıkışı simgeleyen en güçlü görsel motiftir. Finalde, uçakla Ankara’ya dönen 49 kişinin aileleriyle
buluştuğu havalimanı sahneleri, devletin gücünü ve sadakatini vurgulayan gurur dolu bir kapanış
sunar. Ortadoğu’nun kızgın güneşinden vatanın serin topraklarına uzanan bu yolculuk, gerçek bir
kahramanlık hikayesi olarak sinematik bir dille mühürlenir."
"7 Kocalı Hürmüz (film, 2009)","film","Osmanlı’nın son dönemlerindeki eski İstanbul’un, her köşesi
tarih kokan ve neşeyle çalkalanan bir mahallesinde, kıvrak zekası ve güzelliğiyle nam salmış
Hürmüz’ün renkli dünyası, yaşadığı konağın ahşap kokulu odalarında başlar. Konağın harem
dairesindeki ipek kumaşlar, devasa aynalar ve her köşeye sinmiş yasemin kokuları, Hürmüz’ün her bir
kocasını ayrı bir dünyada ağırladığı o usta oyunculuğunu yansıtan birer sahne tasarımı gibidir. Her
günün farklı bir saatinde, farklı bir koca için hazırlanan yemeklerin kokusu ve değişen kostümler,
mahalle kültürünün o saf ve komik karmaşasını yansıtan dinamik bir atmosfer sunar. Hürmüz’ün yedi
kocasını da aynı anda idare etme çabası, bir gün tüm kocaların beklenmedik bir şekilde aynı anda
konağa gelmeye niyetlenmesiyle büyük bir kırılma noktasına ulaşır. Mahalle bakkalından tulumbacı
reisine kadar uzanan bu geniş yelpazedeki kocalar, dönemin toplumsal sınıflarını yansıtan karikatürize
edilmiş birer ayna işlevi görür. Konağın gizli geçitleri, tavan araları ve pencereleri, Hürmüz’ün bir
kocasını saklarken diğerini ağırladığı o baş döndürücü kovalama sahnelerinin mekanı olur. Hürmüz’ün
sırdaşı ve yardımcısı olan kadının telaşlı adımları, gerilimi komediyle harmanlayan bir ritim oluşturur.
Bir gece vakti düzenlenen ve tüm mahallelinin davetli olduğu sahte bir nişan töreni, hikayenin tüm
yalanların ortaya dökülme tehlikesiyle karşı karşıya kaldığı zirve noktasına dönüşür. Renkli fenerlerle
süslenen bahçedeki cümbüş sesleri ve danslar, Hürmüz’ün kendi özgürlüğünü ilan etmek üzere
olduğu o cesur anı simgeler. Doktor olan yedinci kocasına gerçekten aşık olmasıyla, Hürmüz’ün iç
dünyasında o güne kadar kurduğu tüm sahte dengeler yerini gerçek bir arayışa bırakır. Konağın
mutfağında patlak veren kargaşa, karakterlerin birbirlerini keşfettiği ve Hürmüz’ün zekasıyla herkesi
parmağında oynattığı muazzam bir finalle noktalanır. Eski İstanbul’un o şen şakrak ve hoşgörülü ruhu,
her bir karede izleyiciyi gülümseten bir atmosfer olarak korunur. Finalde, Hürmüz’ün tüm kocalarını
bir şekilde ikna edip kendi mutluluğuna yelken açtığı o son sahne, bir kadının zekasıyla koca bir
mahalleyi nasıl dize getirdiğini vurgulayan neşeli bir kapanış sunar."
"7. Koğuştaki Mucize","film","1980’li yılların Ege kasabasında, zeytin ağaçlarının gölgesinde kızı Ova
ile birlikte masum ve mutlu bir hayat süren zihinsel engelli Memo’nun dünyası, bir kaza sonucu
cinayetle suçlanmasıyla aniden karanlığa gömülür. Kasabanın güneşli ve huzurlu meydanı, Memo’nun
kelepçelenerek götürüldüğü o tozlu jandarma kamyonunun arkasında hüzünlü bir silüet olarak
kalırken, gönderildiği cezaevinin yüksek ve soğuk duvarları masumiyetin hapsedildiği sert bir mekana
dönüşür. 7. Koğuş’un ranzaları, rutubetli duvarları ve sigara dumanıyla dolmuş ağır havası, içerideki
mahkumların sertleşmiş kalplerini yansıtan birer ayna gibi işlev görür. Memo’nun çocuksu saflığı ve
Ova’ya olan özlemi, koğuştaki en azılı suçluların bile vicdanlarında derin bir kırılma ve merhamet
duygusu yaratır. Ova’nın, babasını görebilmek için cezaevi duvarlarının dışındaki o tepede bekleyişi,
imkansız bir kavuşmanın özlemini simgeleyen melankolik bir atmosfere sahiptir. Cezaevi müdürünün
ve gardiyanların disiplin takıntısı ile Memo’nun kuralları anlamayan masumiyeti arasındaki çatışma,
izleyicinin adalet duygusunu sorgulayan sarsıcı anlara sahne olur. Bir gece yarısı, mahkumların iş
birliğiyle Ova’nın gizlice cezaevine sokulması, hikayenin o soğuk ve karanlık atmosferinde açan bir
çiçek gibi umut dolu bir mucize yaratır. Memo’nun kızıyla kucaklaştığı o daracık hücre, dünyanın en
huzurlu ve geniş mekanıymışçasına duygu yüklü bir zirveye ulaşır. İnfaz kararının onaylanmasıyla
birlikte cezaevinin avlusunda kurulan darağacı, adaletsizliğin en somut ve korkutucu simgesi olarak
gerilimi doruğa çıkarır. Mahkumların Memo’yu kurtarmak için giriştikleri o büyük fedakarlık planı,
cezaevi koridorlarında sessiz ama kararlı bir direnişe dönüşür. Memo’nun darağacına doğru yürüdüğü
o sisli sabah, ölümün ve yaşamın arasındaki o ince çizginin en dramatik şekilde çizildiği andır. Finalde,
denizin kenarında küçük bir teknede Ova ile yeniden buluşan Memo’nun gökyüzüne bakarak
gülümsemesi, sevginin ve fedakarlığın en büyük mucize olduğunu kanıtlayan sarsıcı bir kapanış sunar.
Ege’nin maviliği ve Ova’nın sevinç çığlıkları, izleyicinin hafızasından uzun süre çıkmayacak bir huzur ve
hüzün dengesi kurar."
"8. Gün","dizi","İstanbul’un modern plazaları ve teknoloji merkezlerinin soğuk cam cepheleri
arasında, dahi bir yazılımcı olan annesinin gizemli ölümünün ardından hayatı altüst olan Bahar’ın
hikayesi, yas tuttuğu karanlık evinde başlar. Evin anılarla dolu odaları, annesinin yokluğuyla sessizliğe
gömülürken Bahar’ın içindeki o güvenli dünyanın yıkılışını yansıtan hüzünlü bir ayna işlevi görür.
Annesinin geliştirdiği ve devlet sırrı niteliğindeki 'Milli Muharip Yazılım'ın peşindeki karanlık güçlerin
Bahar’ı hedef almasıyla, hikaye durağan bir dramdan nefes kesici bir kovalamacaya dönüşen büyük
bir kırılma yaşar. Şehrin yer altı otoparkları, yüksek güvenlikli ofis binaları ve gizli istihbarat hücreleri,
Bahar’ın hayatta kalmak için strateji geliştirdiği tekinsiz mekanlara dönüşür. Bahar’ın annesinin
ölmeden önce bıraktığı dijital izleri takip ederken girdiği tozlu arşiv odaları ve eski veri merkezleri,
geçmişin sırlarını aydınlatan atmosferik birer köprü gibidir. Bir suikastçının gölgesinde geçen günlerin
yarattığı gerilim, Bahar’ın güvenebileceği tek insan olan eski bir askerin ortaya çıkmasıyla yeni bir
boyut kazanır. Şehrin yüksek binalarının tepesinde, rüzgarın uğultusu eşliğinde yapılan o tehlikeli
pazarlıklar, adaletin ve ihanetin kesiştiği duygusal zirve noktalarıdır. Bahar’ın teknoloji konusundaki
yeteneğini kullanarak düşmanlarını kendi silahıyla vurması, karakterin zayıf bir mağdurdan güçlü bir
figüre evrilmesini simgeler. Bir kış gecesi, yazılımın ana merkezine yapılan gizli sızma operasyonu, tüm
sırların açığa çıktığı ve annesinin gerçek katiliyle yüzleştiği sarsıcı bir finale doğru ilerler. Silahların ve
klavye seslerinin birbirine karıştığı o final sahnesi, dijital ve fiziksel dünyanın çatışmasını en üst
seviyede yaşatır. Bahar’ın annesinin vasiyetini yerine getirip yazılımı güvenli ellere teslim ettiği o son
an, hem bir vedayı hem de yeni bir başlangıcı temsil eder. İstanbul’un sabah sisleri arasında kaybolan
Bahar, artık eski Bahar değildir; yaşadığı '8. Gün', onun tüm hayatını sonsuza dek değiştirmiştir.
Finalde, annesinin mezarı başında rüzgara karşı duran Bahar’ın kararlı silüeti, adaletin er ya da geç
yerini bulacağını vurgulayan sinematik bir kapanış sunar."
"9 Kere Leyla","film","İstanbul’un en lüks ve gösterişli semtlerinden birindeki görkemli
malikanelerinde yaşayan zengin iş adamı Adem’in, genç sevgilisiyle evlenebilmek için karısı Leyla’dan
kurtulma çabası, evin her köşesinde kurulan absürt tuzaklarla başlar. Malikanenin geniş ve modern
salonu, Adem’in beceriksizce hazırladığı cinayet planlarının sahnelendiği bir tiyatro platformu gibidir;
Leyla’nın her seferinde bu tuzaklardan mucizevi bir şekilde sağ çıkması ise Adem’in çaresizliğini
yansıtan ironik bir ayna etkisi yaratır. Evin her köşesinde bulunan sanat eserleri ve antikalar, Leyla’nın
sarsılmaz ve 'ölümsüz' yapısını simgeleyen sessiz tanıklar olarak metne işlenir. Adem’in planlarının
dokuz kez başarısız olmasıyla hikaye, kara mizahın doruklarına ulaştığı büyük bir kırılma ve ritim
kazanır. Leyla’nın mutfaktaki neşeli şarkıları ve her defasında canlanan enerjisi, Adem’in loş ve
dumanlı çalışma odasındaki karanlık düşünceleriyle keskin bir tezatlık oluşturur. Genç sevgilinin
malikaneye gelişiyle artan gerilim, üçlü arasındaki gizli savaşın evin koridorlarında yankılanmasına
neden olur. Bir akşam yemeği sırasında sunulan zehirli yemeğin yarattığı o gergin bekleyiş, absürt
komedinin dramatik bir zirveye ulaştığı andır. Leyla’nın aslında göründüğünden çok daha fazlası
olduğunu ve malikanenin gizli mahzenlerinde saklanan sırları keşfeden Adem, kendi kazdığı kuyuya
düşmeye başlar. Evin geniş bahçesindeki heykeller ve gece yarısı ay ışığında parlayan havuz, Leyla’nın
mistik ve korkutucu gücünü yansıtan atmosferik detaylara dönüşür. Adem’in her seferinde daha da
radikalleşen planları, aslında kendi sonunu hazırlayan birer basamak haline gelir. Malikanenin
çatısında yaşanan o son ve en büyük kovalamaca, hikayenin tüm düğümlerinin çözüldüğü ve Leyla’nın
'dokuz canının' sırrının açığa çıktığı zirve noktasıdır. Finalde, Leyla’nın tüm planları bozup malikanenin
mutfağında sakin bir çay demlemesi, bir kadının sabrının ve gücünün karşısında hiçbir kötülüğün
duramayacağını vurgulayan mizahi bir kapanış sunar. Adem’in perişan hali ve malikanenin o ihtişamlı
ama şimdi darmadağın olan dekorasyonu, hırsın getirdiği yıkımı belgeler. Sinematik olarak renkli ve
masalsı bir dille anlatılan bu süreç, izleyiciyi hem güldüren hem de şaşırtan bir 'son kez kurtulma'
hikayesiyle mühürlenir."
