yapim_adi,senaryo_ozeti,label,yapim_yili,_parent,is_augmented,label_id
Kalk Gidelim,"İstanbul’un modern plazalarındaki o hırslı ve soğuk iş dünyasından, Muğla’nın o
her köşesi samimiyet ve neşe kokan huzurlu bir köyüne ( Yeşilyurt), babasının iflası sonucu 'kalk
gidelim' diyerek dönmek zorunda kalan bir ailenin hikayesi, köy meydanındaki o kadim kahvehane
önünde başlar. Şehirli karakterlerin o lüks spor arabalarından inip traktör tepesine binmeleri ve köy
kahvesindeki o babacan köylülerle ilk karşılaşmaları hikayedeki en büyük komik kırılma noktasıdır.
Köyün kerpiç evleri, tarlalardan gelen o taze mısır kokusu ve nenelerin o sarsılmaz otoritesi, şehirli
ailenin üzerindeki o yapay kabuğu kıran atmosferik birer ayna işlevi görür. Karakterlerin köy
kahvesindeki dumanlı sohbetler ile tarlalarda yapılan o 'modern tarım' denemeleri, sınıfsal ve kültürel
zıtlıkları yansıtan duyusal detaylar olarak metne işlenir. Babanın (Mustafa), bir zamanlar küçümsediği
bu topraklarda yeniden dürüstlüğü ve alın terini keşfetmesi, karakterin iç dünyasındaki o arınma
sürecini belgeler. Karakterlerin kendi aralarındaki o 'köy mü şehir mi?' temalı sert ama bir o kadar da
mizahi hesaplaşmaları, Türk insanının o sönmeyen neşesini yansıtan birer ayna etkisi yaratır. Bir gün
köy meydanında düzenlenen o meşhur festivaller veya horon tepilen o coşkulu akşam, tüm
karakterleri bir araya getiren ve dayanışma duygusunun zirveye çıktığı duygusal birer dönemeçtir.
Şehrin neon ışıklı yolları ile Muğla’nın o dingin doğası arasındaki tezatlık, karakterlerin özlem
duygusunu derinleştirir. Bir kaza veya yanlış anlama sonucu ailenin hapse düşmesi veya
zenginleşmesi, her bölümde izleyiciyi güldüren duygusal zirvelerdir. Karakterlerin birbirlerine
duydukları sarsılmaz sadakat ve zor anlarda sergiledikleri o 'kan kardeşliği' ruhu, dizinin temel taşını
oluşturur. Finalde, ailenin İstanbul’a dönme şansı olmasına rağmen köyde kalmaya karar vermesi ve
köy meydanında tüm köylüyle birlikte kurulan o devasa yer sofrası, gerçek mutluluğun bir yer değil
birer samimiyet olduğunu vurgulayan neşeli bir kapanış sunar. Muğla’nın akşam güneşi, bu 'yeni'
köylülerin üzerine doğarak sonsuz bir huzuru müjdeler.",Komedi,2017.0,kalk gidelim,False,3
Aşk ve Mavi,"Gençliğini işlemediği bir cinayet yüzünden hapishanenin soğuk ve gri beton
duvarları arasında tüketen Ali’nin, özgürlüğüne kavuştuğu gün kendisini bekleyen tek sığınağı olan
Kapadokya’nın mistik topraklarına dönmesiyle hikaye başlar. Ali’nin, hapisteyken mektuplaştığı ve ilk
görüşte aşık olduğu Mavi ile evlenme kararı alması, aslında Mavi’nin intikam almak için kurduğu o
kanlı planın en büyük kırılma noktasıdır. Kapadokya’nın o peribacalarıyla çevrili, tozlu ve rüzgarlı
atmosferindeki heybetli konak, her odasında saklanan sırlar ve intikam yeminleriyle dolu tekinsiz bir
ayna gibidir; Mavi’nin odasındaki o gizli hançer ise bastırılmış bir nefretin simgesidir. Düğün gecesi
Mavi’nin, abisinin katili sandığı Ali’yi bıçaklaması ve Ali’nin bu suçu sevdiği kadın için üstlenmesi,
hikayeyi bir aşk masalından sarsıcı bir vicdan savaşına taşır. Konağın yüksek tavanlı salonlarında
yankılanan o hüzünlü türküler ve hanımağanın otoriter sesi, karakterlerin üzerindeki geleneksel
baskıyı yansıtan atmosferik detaylardır. Ali’nin gerçek katili saklaması ve Mavi’nin bu büyük fedakarlık
karşısında yaşadığı o sarsıcı pişmanlık, dramaturjinin en yüksek duygusal katmanını oluşturur. Şehrin
yerel pazar yerleri, tozlu yolları ve gece yarısı ay ışığı altında parlayan vadileri, karakterlerin o bitmek
bilmeyen kaçış ve kovalama sahnelerinin fonu olur. Mavi’nin, Ali’nin masumiyetini bir tesadüf eseri
öğrenmesi, aralarındaki nefreti büyük bir aşka dönüştüren o sarsıcı zirve noktasıdır. Karakterlerin
kendi ailevi geçmişlerindeki o kanlı hesaplaşmalar, konağın avlusunda yapılan o büyük yüzleşmelerde
belgeler. Ali’nin abisinin yaptığı o sinsi planların birer birer ortaya çıkması, gerilimi her geçen dakika
tırmandırır. Bir gece yarısı vadi kenarında gerçekleştirilen o son ve büyük hesaplaşma, tüm sırların
kanla yıkandığı ve aşkın küllerinden yeniden doğduğu sinematik bir zirvedir. Finalde, tüm
düşmanlıkların bittiği ve Ali ile Mavi’nin Kapadokya semalarında süzülen bir balondan şehre baktıkları
o huzurlu an, sevginin her türlü acıyı iyileştireceğini vurgulayan umut dolu bir kapanış sunar.
Peribacalarının gölgesi, bu büyük aşkın ve fedakarlığın hatırasını ebediyen o topraklarda saklar.",Dram,2016.0,aşk ve mavi,False,1
Aşk Yeniden,"Amerika’daki hayal kırıklıklarıyla dolu hayatlarını geride bırakıp İstanbul’a
dönen Zeynep ve Fatih’in yolları, Atlas Okyanusu’nun üzerinde süzülen bir uçağın dar koridorunda
tesadüfen kesişince, her ikisi de ailelerine karşı söyleyecekleri büyük bir yalanın temelini atarlar.
İstanbul Havalimanı’nın kalabalık ve gürültülü atmosferi, karakterlerin kucaklarında bir bebekle eve
dönerken hissettikleri o büyük korku ve heyecanı yansıtan bir ayna işlevi görürken, şehrin neon
ışıkları altındaki ilk taksi yolculuğu bu sahte evlilik oyununun başlangıcı olur. Zeynep’in Karadenizli
ailesinin yaşadığı o ahşap kokulu, gürültülü ve her zaman hareketli olan mahalle evi ile Fatih’in
ailesine ait olan lüks, soğuk ve kuralcı malikane, iki farklı dünyanın çarpışmasını simgeleyen
atmosferik birer kutup gibidir. Fatih’in otoriter annesinin yalıdaki o her köşesi porselen ve kristallerle
süslü odası, yeni gelini kabul etmeyen mesafeli birer engel olarak yükselirken, Zeynep’in babasının
balıkçı teknesindeki o tuzlu deniz havası dürüstlüğü ve samimiyeti temsil eder. Gençlerin birer 'karı-
koca' rolü yapmak zorunda kaldıkları yalı odasındaki o ilk gece, birbirlerine duydukları bastırılmış
ilginin ve yalanlarının ağırlığının hissedildiği duygusal bir kırılma noktası yaratır. Şehrin sahil
kafelerinde ve Şile’nin rüzgarlı kumsallarında geçen o sahte balayı sahneleri, karakterlerin birbirlerini
gerçekten tanımaya başladıkları o sinematik zirvelerdir. Bir gün yalanın ortaya çıkma tehlikesiyle karşı
karşıya kalmaları, tüm Celepoğlu ve Şekercizade ailelerini bir araya getiren ve gerilimin kahkahayla
harmanlandığı büyük bir kaosa yol açar. Karakterlerin kendi ailevi travmalarıyla ve geçmişteki
sevgilileriyle yaptıkları o sarsıcı hesaplaşmalar, dramaturjinin o en yüksek duygusal katmanlarını
oluşturur. Bir kış gecesi malikanenin bahçesinde yapılan o samimi itiraf ve ardından gelen ilk gerçek
öpücük, yalanın aşka evrildiği o muazzam zirve noktasıdır. Finalde, tüm yalanların dürüstlükle
temizlendiği ve her iki ailenin de katıldığı o neşeli mahalle düğünü, sevginin her türlü sosyal sınıfı ve
önyargıyı yendiğini vurgulayan umut dolu bir kapanış sunar. İstanbul’un akşam güneşi, bu yeniden
filizlenen aşkın üzerine doğarak sonsuz bir huzuru müjdeler.",Komedi,2015.0,aşk yeniden,False,3
Eşrefpaşalılar,"İzmir’den İstanbul’un o her köşesi suç ve kaosla örülü dar sokaklarına göç
eden ve kendilerine 'Eşrefpaşalılar' diyen iki kabadayı arkadaşın, yeni bir mahallede kendi adaletlerini
kurmaya çalışmalarıyla başlayan bu dram, bir tamirhanenin yağ kokulu atmosferinde start alır.
Karakterlerin yaşadığı o her köşesi eski takımlar ve asılı duran kabadayı ceketleriyle dolu odası,
onların o güne kadar kurduğu sarsılmaz dünyasını yansıtan bir ayna gibidir; şehrin yeraltı
dünyasındaki o lüks kumarhaneler ve dumanlı pavyonlar ise bu dürüstlüğe karşı duran tekinsiz birer
unsurdur. Kahramanların, bir arkadaşının haksız yere öldürülmesine şahit olması hikayede
masumiyetin bittiği ve intikam ateşinin başladığı en büyük kırılma noktasıdır. Şehrin dar sokakları,
liman bölgesindeki izbe depolar ve gece yarısı sirenlerin yankılandığı meydanlar, aksiyonun zirve
noktalarıdır. Karakterlerin kendi aralarındaki o 'racon' ve 'sadakat' temalı sert ve vakur konuşmaları,
Türk kabadayı sinemasının o sarsılmaz ruhunu belgeler. Bir suç baronunun malikanesine yapılan o
şafak baskını ve ardından gelen nefes kesici kovalama sahneleri, gerilimi her saniye tırmandıran
atmosferik detaylar sunar. Karakterin, kendi ailesini korumak adına girdiği o tehlikeli yollar ve
ardından gelen sarsıcı fiziksel şiddet, hayatta kalmanın ne kadar zor olduğunu belgeler. Şehrin üzerine
çöken o ağır barut dumanı ve ardından gelen sağanak yağmur, karakterlerin o güne kadar biriktirdiği
tüm öfkenin arınma sürecini temsil eden duyusal detaylardır. Bir gece yarısı Boğaz kenarında
gerçekleştirilen o son ve büyük hesaplaşma, adaletin kanla arandığı sarsıcı bir zirve noktasıdır.
Karakterin, aynaya baktığında o eski huzurlu yüzünü bir daha görememesi, dramaturjinin en yüksek
trajik katmanıdır. Finalde, düşmanlarını dize getirdikten sonra sahil kenarında elinde bir bardak çayla
uzaklara bakan kahramanın o vakur silüeti, onurun paradan ve güçten daha değerli olduğunu
vurgulayan destansı bir kapanış sunar. İstanbul’un akşam sisi, bu isimsiz kahramanların hatırasını
ebediyen kendi içinde saklayacaktır.",Komedi,2010.0,eşrefpaşalılar,False,3
Kasaba Doktoru,"İstanbul’un modern ve pırıltılı bir hastanesinden, Anadolu’nun o her köşesi
samimiyet ve imkansızlık kokan bir kasaba hastanesine ( Özel Uluçınar) atanan idealist doktorun
hikayesi, sabahın ilk ışıklarıyla başlayan bir operasyonla başlar. Hastanenin dökülen duvarları, kısıtlı
tıbbi imkanları ve her an patlak veren o acil vakalar, karakterin o güne kadar kurduğu o korunaklı
dünyasını yansıtan bir ayna gibidir; dahi ama bir o kadar da kuralsız doktor Hakan’ın o bilgece duruşu
ise bu kaosa sızan tek iyileştirici güçtür. Genç doktorun, bir trafik kazası sonrası hastaneye getirilen
ağır bir vaka karşısında sergilediği o sarsılmaz iradesi hikayedeki en büyük kırılma noktasıdır. Kasaba
pazar yerindeki fısıltılar, dumanlı kahvehaneler ve gece yarısı sığınılan o sahil kenarı bankları,
karakterin aidiyet sorgulamasını yansıtan atmosferik mekanlardır. Doktor Hakan’ın, her vakayı birer
dedektif gibi takip edip kimsenin göremediği detayları fark etmesi, dramaturjiyi her saniye
tırmandıran zeka zirveleridir. Karakterlerin kendi aralarındaki o 'tıp bir bilimdir ama hayat bir
muammadır' temalı dertleşmeleri, Türk televizyonunun o en samimi katmanını oluşturur. Bir gün
kasabada patlak veren bir salgın veya büyük bir kaza, tüm ekibi tek vücut olmaya zorlayan sarsıcı bir
zirve noktası yaratır. Şehrin neon ışıklı yolları ile kasabanın o sessiz yoğun bakım ünitesi arasındaki
tezatlık, karakterlerin özlem duygusunu belgeler. Bir gece yarısı hastane bahçesinde yapılan o samimi
dertleşme ve ekibinin birbirine duyduğu sarsılmaz sadakat, dostluğun en saf halidir. Şehrin üzerine
çöken akşam sisi ve denizin o huzurlu dalga sesleri, ruhun arınma sürecini temsil eder. Finalde,
imkansız denilen hastanın kurtarılmasının ardından doktorların sahil kenarında el ele yürürken çekilen
o son karesi, başarının şatafatta değil dürüstlükte olduğunu vurgulayan umut dolu bir kapanış sunar.
Anadolu’nın akşam güneşi, bu 'şifa dağıtan' ellerin üzerine doğarak sonsuz bir huzuru müjdeler.",Romantik,2022.0,kasaba doktoru,False,5
Haziran Gecesi,"İstanbul’un o her köşesi entrika ve lüks kokan yüksek duvarlı
malikanelerinden birinde, bir üniversite öğrencisi olan Havin’in, zengin bir politikacının veliahdı Baran
ile yaşadığı o trajik aşkın hikayesi, bir kaza sahnesiyle başlar. Havin’in o saf ve masum çocukluk
dünyası, bir gece yarısı yolda yaşadığı o korkunç kaza ve ardından gelen kimlik değişimiyle birlikte
sarsıcı bir yıkıma uğrar. Baran’ın yaşadığı o şatafatlı, her köşesi güvenlik kameralarıyla korunan
malikane, karakterlerin sakladıkları sırları yansıtan buz gibi bir ayna gibidir; Havin’in sığındığı o derme
çatma sahil evi ise bu masumiyete karşı duran tek sığınaktır. Baran’ın, Havin’in öldüğünü sanıp başka
bir hayat kurması hikayedeki en büyük kırılma noktasıdır. Şehrin neon ışıklı holding binaları ile
mahalledeki o samimi dertleşmeler arasındaki uçurum, bir kadının hayatta kalma mücadelesini
belgeler. Karakterlerin kendi aralarındaki o 'haziran gecesi' temalı hıçkırık dolu pazarlıkları, sevginin
ne kadar ağır bir bedeli olduğunu gösteren atmosferik detaylar olarak işlenir. Baran’ın annesinin, bu
ilişkiyi bitirmek için kurduğu sinsi tuzaklar ve ardından gelen büyük aile yüzleşmeleri, gerilimi her
bölümde tırmandırır. Bir gece yarısı Boğaz kenarında gerçekleştirilen o sarsıcı yüzleşme ve ardından
gelen itiraflar, sevginin ve güvenin ne kadar zor inşa edildiğini belgeler. Şehrin üzerine çöken akşam
sisi ve vapurların o acı sireni, bitmek bilmeyen bir mücadelenin ve sönmeyen bir vicdanın
sembolleridir. Karakterlerin aynaya baktıklarında o eski huzurlu yüzlerini bir daha görememeleri,
ruhsal bir çöküşün sinematik kanıtıdır. Bir kaza veya hastalık sonrası hastane koridorunda bekleyen
tüm ailenin o sessiz ve gerilimli hali, sadakatin paradan daha önemli olduğunu gösteren duygusal bir
zirvedir. Finalde, Havin’in tüm gerçekleri haykırıp Baran’ın elini tuttuğu ve yalıdan yürüyerek
uzaklaştıkları o huzurlu kare, adaletin geç de olsa yerini bulacağını vurgulayan sarsıcı bir kapanış
sunar. İstanbul’un akşam güneşi, bu yaralı aşıkların yeni yolunu müjdelercesine ufukta parlar.",Dram,2004.0,haziran gecesi,False,1
Gümüş,"Gümüşhane’nin o sarsılmaz gelenekleri ve toprak kokulu köylerinden İstanbul’un o
her köşesi entrika kokan lüks yalılarına uzanan bu dram, köylü kızı Gümüş’ün zengin Şadoğlu ailesinin
veliahdı Mehmet ile evlenmesiyle başlar. Gümüş’ün yaşadığı o kerpiç duvarlı, çiçekli bahçeli evi, onun
o güne kadar kurduğu o saf dünyasını yansıtan bir ayna gibidir; Mehmet’in yaşadığı o şatafatlı, Boğaz
manzaralı malikane ise bu masumiyete karşı duran soğuk ve acımasız bir dünyadır. Mehmet’in, eski
sevgilisinin ölümüyle yaşadığı o büyük yas ve Gümüş’e karşı sergilediği o buz gibi tavırlar, hikayede
duygusal dengelerin sarsıldığı en büyük kırılma noktasıdır. Yalının sessiz koridorlarında yankılanan
sinsi fısıltılar ve kapalı kapılar ardında yapılan o zehirli pazarlıklar, gerilimi her geçen saniye
tırmandıran atmosferik detaylardır. Gümüş’ün, holding binasındaki o şık ofislerde bir tasarımcı olarak
kendi ayakları üzerinde durma mücadelesi, bir kadının uyanışını simgeleyen sinematik bir zaferdir.
Şehrin lüks restoranlarındaki o sahte pırıltılar ile mahalle bakkalındaki o samimi duruş arasındaki
tezatlık, karakterin aidiyet sorgulamasını belgeler. Bir gün ailenin en büyük sırrının bir mektupla tüm
yalıda yankılanması, hikayeyi bir aşk dramasından sarsıcı bir intikam savaşına taşır. Karakterlerin
kendi aralarındaki o 'sadakat mi yoksa hırs mı?' sorgulamaları, her bir odada fiziksel bir baskı yaratan
birer ayna işlevi görür. Bir gece yarısı Boğaz kenarında gerçekleştirilen o sarsıcı yüzleşme ve
Mehmet’in Gümüş’e ilk kez 'karım' dediği o an, sevginin her türlü nefreti yeneceğini kanıtlayan
duygusal bir zirvedir. Şehrin üzerine çöken akşam sisi ve vapurların o acı sireni, bitmek bilmeyen bir
mücadelenin ve sönmeyen bir aşkın sembolleridir. Finalde, Gümüş’ün hem iş hem de aile hayatında
kazandığı o muazzam zafer ve Mehmet ile el ele yalıdan çıkışları, adaletin ve sabrın zaferini
vurgulayan umut dolu bir kapanış sunar. İstanbul’un ışıkları, bu yaralı ama vakur kadının yeni hayatını
müjdelercesine ufukta parlar.",Romantik,2005.0,gümüş,False,5
Kaynanalar,"Ankara’nın bürokratik ciddiyeti ile orta sınıf mahalle hayatının samimiyetinin iç
içe geçtiği o her köşesi yaşanmışlık kokan aile evinde, Nuri ve Nuriye Kantar çiftinin neşeli hikayesi
anlatılır. Evin o her sabah taze demlenmiş çay kokusuyla uyanan mutfağı ve aile fertlerinin toplandığı
o büyük yemek masası, Türk aile yapısının o sarsılmaz dokusunu yansıtan samimi bir ayna gibidir;
mahalledeki o her şeyi bilen bilge esnaf ve pazar yerindeki neşeli atışmalar ise bu sakinliğe eşlik eden
birer koro gibidir. Ailenin, şehirden gelen zengin bir dünüre karşı sergilediği o 'has mahalleli' duruşu
hikayedeki en büyük komik kırılma noktasıdır. Karakterlerin kendi aralarındaki o 'incir çekirdeğini
doldurmayan' kavgaları ve ardından gelen büyük barışmalar, sevginin her türlü engelden üstün
olduğunu gösteren duygusal zirvelerdir. Nuri Bey’in o titizlikle ütülenmiş ceketi ve elinden
düşürmediği bastonu, karakterin o güne kadar kurduğu o sarsılmaz dünyasını belgeler. Bir gün
aileden birinin başına gelen bir yanlış anlama veya düğün telaşı, tüm mahalleliyi tek vücut haline
getiren sarsıcı bir andır. Şehrin neon ışıklı yolları ile mahallenin o loş sokakları arasındaki geçişler,
karakterlerin aidiyet sorgulamasını simgeler. Karakterlerin kendi ailevi geçmişlerindeki sırlar ve
dökülen hüzünlü yaşlar, her bir karede izleyiciyi kendi çocukluğuna götürür. Bir kış gecesi soba
başında yapılan o samimi sohbetler ve paylaşılan sıcak çorba, gerçek zenginliğin huzur olduğunu
kanıtlayan sinematik zirvelerdir. Nuriye Hanım’ın, çocuklarının omuzlarındaki yorgunluğu görüp
onlara verdiği o babacan nasihatler, dramaturjinin en yüksek katmanını oluşturur. Finalde, tüm
ailenin bahçedeki büyük bir sofrada bir araya gelip birbirlerine sarıldıkları ve radyodan yükselen o
tanıdık melodi eşliğinde güldükleri o huzurlu kare, birliğin her türlü fırtınayı yeneceğini vurgulayan
umut dolu bir kapanış sunar. Ankara’nın akşam güneşi, bu samimi ailenin üzerine doğarak sonsuz bir
huzuru müjdeler.",Dram,1974.0,kaynanalar,False,1
Hürrem Sultan,"16. yüzyılın o her bir taşında bir cihan hakimiyetinin yankılandığı Topkapı
Sarayı’nın ihtişamlı ama bir o kadar da tekinsiz koridorlarında, esir bir kızdan cihan hatununa dönüşen
Hürrem’in yükseliş hikayesi başlar. Sarayın o altın varaklı harem salonları ve meşalelerle aydınlanan
gizli geçitleri, Hürrem’in hayatta kalma ve iktidar hırsını yansıtan görkemli bir ayna gibidir; rakibi
Mahidevran’ın gözlerindeki o sönmeyen keder ise bu hırsın ilk kurbanıdır. Hürrem’in, Kanuni Sultan
Süleyman’ın dikkatini çekip onun kalbine girmeyi başardığı o ilk halvet gecesi hikayenin en büyük
kırılma noktasıdır. Haremdeki cariyelerin fısıltıları, Valide Sultan’ın otoriter sesi ve saray mutfağından
yükselen baharat kokuları, dönemin atmosferini yansıtan duyusal detaylardır. Hürrem’in, evlatlarını
korumak adına devlet adamlarıyla girdiği o stratejik zeka savaşları, dramaturjinin en yüksek katmanını
oluşturur. Bir gece yarısı saray bahçesinde yapılan suikast girişimi ve Hürrem’in tek başına bu pusuyu
atlatması, karakterin sarsılmaz iradesinin zirve noktasıdır. Şehrin üzerine çöken o ağır barut dumanı
ve şafak vaktinde Galata’dan duyulan ezan sesleri, imparatorluğun azametini belgeler. Hürrem’in, bir
yandan Süleyman’a olan tutkulu aşkını korurken diğer yandan sadrazamlarla girdiği o kanlı satranç
oyunu, sarayın her odasında hissedilen bir gerilim hattıdır. Karakterlerin kendi ailevi geçmişlerindeki
sırlar ve dökülen masum yaşlar, mutlak gücün ne kadar ağır bir bedeli olduğunu gösterir. Finalde,
Süleyman’ın kollarında son nefesini veren Hürrem’in o vakur duruşu ve ardında bıraktığı o büyük
miras, bir devrin kapanışını simgeleyen destansı bir kapanış sunar. İstanbul’un batan güneşi, bu
efsanevi sultanın hatırasını ebediyen o kubbelerin arasında saklayacaktır.",Dram,2003.0,hürrem sultan,False,1
Benim Tatlı Yalanım,"Eşi tarafından terk edildikten sonra kızı Kayra’ya annesinin yokluğunu
hissettirmemek için ona yıllarca 'yurt dışındaki annesinden mektuplar' yazan reklamcı Nejat’ın, bu
büyük yalanının bir gün tesadüfen tanıştığı Suna ile gerçeğe dönüşmesiyle başlayan bu romantik
komedi, yalanlar üzerine kurulu samimi bir aileyi konu alır. Nejat’ın o her köşesi çocuk oyuncaklarıyla
dolu, renkli ama annesiz evi, kızı için kurduğu o yapay ama sevgi dolu dünyayı yansıtan bir ayna
gibidir; Suna’nın ailesine ait olan o sıcak, mahalle kokulu gözleme dükkanı ise bu yalana dahil olan o
dürüst sığınağı simgeler. Kayra’nın, doğum gününde annesinin geleceğine inanması ve o gün Suna’nın
Nejat’ın evine ansızın girmesi, hikayenin tüm dengelerini altüst eden en büyük kırılma noktasıdır.
Suna’nın, küçük bir kızın hayallerini yıkmamak adına 'anne' rolünü üstlenmesi, reklam ajansındaki o
profesyonel dünya ile evdeki o duygusal sahtekarlık arasındaki tezatlığı belgeler. Şehrin
lunaparklarında, parklarında ve sahil kenarlarında çekilen o 'mutlu aile' fotoğrafları, karakterlerin
birbirlerine duydukları o bastırılmış duyguların filizlendiği atmosferik detaylardır. Nejat’ın, Suna’nın o
doğal ve içten tavırları karşısında kendi kuralcı hayatını sorgulamaya başladığı o akşam yemeği
sahneleri, karakterin o sert kabuğunun çatlamasına neden olan duygusal zirvelerdir. Bir gün Kayra’nın
gerçek annesinden gelen bir haber veya bir fotoğraf karesi, hikayeyi bir komediden sarsıcı bir sadakat
sınavına taşıyan gerilimli bir dönemeçtir. Suna’nın ailesinin bu 'sahte anne' oyununu öğrenmesi ve
mahallede patlak veren o büyük kargaşa, dramaturjinin o en yüksek ve en komik katmanını oluşturur.
Karakterlerin kendi aralarındaki o 'bu sadece bir rol' temalı atışmaları, aslında birbirlerine olan
aşklarını gizleyen birer ayna işlevi görür. Bir kış gecesi karda Kayra ile birlikte yapılan o büyük kardan
adam ve ardından gelen samimi kucaklaşma, sevginin kan bağından değil emek bağından geldiğini
kanıtlar. Nejat’ın, Suna’ya olan aşkını itiraf ettiği o yağmurlu sahil sahnesi, tüm yalanlardan arınmış bir
başlangıcın sinematik zirvesidir. Finalde, Kayra’nın tüm gerçeği bilmesine rağmen Suna’yı annesi
olarak kabul ettiği ve tüm ailenin bahçede kurulan o büyük sofrada birleştiği o huzurlu kare, 'tatlı
yalanların' bazen en güzel gerçeklere kapı açtığını vurgulayan umut dolu bir kapanış sunar.
İstanbul’un akşam güneşi, bu yeniden uyanan yuvanın üzerine doğarak sonsuz bir huzuru müjdeler.",Komedi,2019.0,benim tatlı yalanım,False,3
