yapim_id,lokasyon_id,sahne_bilgisi
258,301,Gizlenen geçmişin yaşandığı sahil kasabası (Flashback)
258,170,Karakterlerin yeni hayatlarını kurduğu mahalle
258,286,Şehirler arası geçiş sahneleri
837,134,Dizinin başladığı masalsı atmosfer
837,135,Ana konak ve aile evinin bulunduğu köy
837,170,İstanbul sahneleri ve kaçış rotası
528,134,Maria ve Mustafa'nın ilk tanıştığı vadiler
528,135,Candemir ailesinin tarihi taş konağı
528,74,Dış çekimler ve kaçış sahneleri
104,134,Görele ve Ürgüp genelindeki açık hava çekimleri
104,135,Mavi ve Ali'nin ana çekim platosu olan konak
104,74,Duygusal geçiş sahnelerindeki doğa manzaraları
367,97,Hikayenin başladığı töre temalı Mardin evleri
367,170,Ailenin İstanbul'a göç ettikten sonra yerleştiği semt
367,286,Kentsel dönüşüm temalı dış çekimler
791,138,Hancıoğlu ailesinin yaşadığı ana merkez konak
791,134,Havva ve Toprak karakterlerinin dertleştiği vadiler
791,135,Kasaba merkezi ve genel dış çekimler
73,136,Seymen Ağa ve Bahar'ın yaşadığı efsanevi konak
73,134,Kapadokya genel manzaraları ve dış çekimler
73,135,Köy sahneleri ve yerel halkın toplandığı meydanlar
872,260,Ana karakterlerin deniz kenarındaki hesaplaşma sahneleri
872,257,İstanbul'daki lüks yaşam ve entrikaların döndüğü villalar
872,286,İzmir bağlantılı geçmiş sahneleri ve liman
841,171,Çukur mahallesinin kalbi olan sokaklar ve kahvehane
841,170,Yan mahalle çatışmaları ve genel Haliç çevresi
841,257,Koçovalı ailesinin gizli buluşma ve sığınma noktaları
115,260,Salih Usta'nın fırınının bulunduğu mahalle atmosferi
115,219,Kuzguncuk'taki samimi mahalle ve komşu ilişkileri
115,170,Karakterlerin iş yerleri ve şehir içindeki komik maceraları
502,134,Candan Ağa ve ailesinin hikayesinin geçtiği Kapadokya platosu
502,135,Dönemin kırsal sahneleri ve kasaba yaşantısı
502,138,Dizideki ana çekim merkezlerinden biri olan tarihi taş yapılar
347,56,Bursa Orhaneli ve çevresindeki tarihi atmosfer sahneleri
347,61,Bursa şehir merkezindeki eski han ve hamam çekimleri
347,217,Beykoz platolarında kurulan 14. yüzyıl Bursa sokakları
353,75,Gül'ün Isparta Eğirdir'deki halı dokuma ve köy sahneleri
353,87,Isparta-İstanbul arası tren yolculuğu sahneleri
353,170,İstanbul'daki tekstil atölyeleri ve şehir hayatı çekimleri
133,134,Karaoğlan'ın Bizans ve Moğol ordularıyla Kapadokya vadilerindeki savaş sahneleri
133,133,Avanos ve çevresindeki tarihi kale ve mağara çekimleri
133,140,Genel dış mekan ve Orta Asya atmosferini yansıtan bozkır sahneleri
179,10,Yamanlar Çiftliği ve Adana Çukurova'nın uçsuz bucaksız pamuk tarlaları
179,2,Adana şehir merkezi ve 1970'lerin atmosferini yansıtan çarşı sahneleri
179,9,İkonik tren ve köprü sahneleri (Varda Köprüsü)
561,129,Nadide Hanım'ın üniversite sonrası katıldığı Dalyan mavi tur sahneleri
561,128,Fethiye ve Ölüdeniz çevresindeki sualtı ve tekne çekimleri
561,173,İstanbul sahneleri ve başlangıç sekansları
266,46,Aydın Söke Doğanbey köyündeki termal santral protestosu ve köy sahneleri
266,273,Muğla-Aydın hattındaki Ege kasabası atmosferi çekimleri
266,296,Doğal tarım ve çevre bilinci temalı dış mekan çekimleri
443,279,İzmir Ödemiş/Birgi çevresindeki köy hayatı ve komedi sahneleri
443,286,İzmir genelindeki dış çekimler ve çarşı sahneleri
443,33,Yol ve ulaşım sekansları
851,170,Cüneyt Arkın'ın İstanbul sokaklarındaki intikam ve dövüş sahneleri
851,264,Liman ve depo bölgelerindeki aksiyon çekimleri
851,266,Mahkeme ve cezaevi atmosferi sahneleri
47,2,İbrahim Tatlıses'in Adana konser ve şehir içi macera sahneleri
47,4,Adana mahalle kültürü ve dostluk sahneleri
47,170,İstanbul bağlantılı stüdyo ve müzik dünyası çekimleri
267,170,İstanbul'un gece hayatı ve polisiye aksiyon sahneleri
267,173,Sahil şeridindeki takip ve çatışma sekansları
267,222,Modern ofis ve holding binaları çekimleri
500,146,Rize Fırtına Deresi ve çevresindeki su mücadelesi sahneleri
500,148,Karadeniz yayla evleri ve doğal yaşam sahneleri
500,154,Genel dış mekan ve çevre aktivizmi temalı çekimler
140,185,Leman'ın Beyoğlu'ndaki dramatik yaşamı ve mahalle sahneleri
140,170,İstanbul'un tarihi semtlerinde geçen dış çekimler
140,173,Sahil şeridi ve modern İstanbul silüeti sahneleri
671,196,Ali Poyrazoğlu ve Oya Başar'ın İstanbul sokaklarındaki müzikal ve dramatik sahneleri
671,170,Beyoğlu ve İstiklal Caddesi çevresindeki dış çekimler
671,239,Sirkeci ve Eminönü hattındaki nostaljik sahneler
551,301,Güneydoğu Anadolu atmosferini yansıtan dış mekan sahneleri
551,97,Karakterlerin yaşadığı tarihi taş ev ve sokak çekimleri
551,140,Genel dış mekan ve kasaba merkezi sahneleri
